sample,yield,plant_height,seed_weight
C1,2.10,68.2,15.1
C2,2.25,69.4,15.4
C3,2.32,70.1,15.6
C4,2.46,71.0,15.9
C5,2.78,72.5,16.4
C6,2.94,73.6,16.8
C7,3.08,74.0,17.0
C8,3.18,74.7,17.3
C9,3.42,75.9,17.8
C10,3.55,76.8,18.1
C11,3.66,77.4,18.3
C12,3.82,78.2,18.7
C13,3.05,82.1,18.2
C14,3.18,83.3,18.5
C15,3.26,84.0,18.8
C16,3.40,84.9,19.0
C17,3.72,86.0,19.5
C18,3.86,86.8,19.8
C19,3.95,87.5,20.1
C20,4.08,88.2,20.3
C21,4.19,88.9,20.6
C22,4.42,90.1,21.0
C23,4.58,90.8,21.3
C24,4.67,91.6,21.5
C25,4.84,92.4,21.8
C26,4.18,91.5,22.2
C27,4.32,92.0,22.5
C28,4.41,92.8,22.7
C29,4.55,93.4,23.0
C30,4.88,94.6,23.5
C31,5.02,95.2,23.8
C32,5.18,95.9,24.0
C33,5.30,96.6,24.3
C34,5.62,97.5,24.8
C35,5.78,98.3,25.0
C36,5.91,99.0,25.3
C37,6.08,99.8,25.6
